Potion of Lycanthropy
Poison of Petals
Poison of Sweet Madness
Poison of Dying Thoughts
Potion of Slashing Vulnerability
Potion of Starvation
Poison of the Ice Serpent
Poison of Unheard Screams
Potion of Sore Throat
Poison of Burning Wounds
Potion of the Sealed Mouth
Poison of Blinding Flames
Potion of Necrotic Vulnerability
Poison of Saltwater Weakness
Poison of Suffocation
Potion of Banishment
Poison of Paralytic Death
Poison of Violet Corrosion
Poison of Petrification
Poison of Conjured Needles
Potion of Lightning Vulnerability
Potion of Sweaty Palms
Poison of Thorned Vines
Poison of Gutfire
Poison of Frightening Faces
Poison of Lethal Lemons
Potion of Cold Vulnerability
Potion of Amber Entrapment
Potion of Crushing Attraction
Poison of Decaying Flesh
Poison of Crimson Ooze
Potion of Darkvision Loss
Potion of Prismatic Explosion
Poison of Misfortune
Potion of the Repulsive Skeleton
Poison of the Waterbound
Poison of Internal Bleeding
Poison of Regrets
Poison of Scarlet Shock
Poison of Severe Exhaustion
Potion of Prolonged Cold Vulnerability
Potion of Clouded Vision
Potion of Storm Vulnerability
Potion of Obscured Sight
Poison of Inky Tentacles
Potion of the Struggling Swimmer
Poison of Eternal Rest
Potion of Costly Divination
Potion of Speechlessness
Potion of Tentacle Transformation
Potion of Gold Phobia
Poison of the Phantasmal Dragon
Potion of Faerie Glow
Potion of False Darkness
Potion of Stinking Cloud
Potion of Coinblindness
Potion of Healing (Expired)
Potion of Feeblemind
Poison of Imprisonment
Poison of Chicken Terror
Potion of Piercing Vulnerability
Poison of Frozen Death
Poison of Domination
Poison of the Emerald Spider
Potion of Grease Fountain
Potion of Painful Underwater Breath
Potion of Courage and Madness
Poison of Purple Death
Potion of Earthen Rage
Potion of the Melting Snowman
Potion of Radiant De-petrification
Potion of Night Eyes
Potion of Snake Form
Potion of Bursting Beans
Potion of Blackened Cloud
Poison of the Fire Scorpion
Potion of Blurred Aim
Potion of Corrupted Healing
Poison of Doorway Phobia
Potion of the Infernal Chamber
Potion of Unstable Longstrider
Poison of Slowness
Poison of Blight
Potion of Force Immunization
Poison of the Phantom Tentacles
Potion of Drowsy Berries
Potion of Lethal Clarity
Potion of the Mummy's Curse
Potion of Teleportation Block
Potion of Shared Pain
Poison of Fire Vulnerability
Potion of Heavy Foresight
Potion of the Hydra
Poison of Paralytic Venom
Potion of the Jellyfish's Curse
Potion of Sacrificial Knowledge
Poison of Reflective Pain
Potion of Painful Thought Detection
Potion of Rusting
Poison of Basilisk's Gaze
