Absorb Elements
Alarm
Animal Friendship
Armor of Agathys
Arms of Hadar
Bane
Beast Bond
Black Ribbons
Blade of Blood and Bone
Bless
Burning Hands
Catapult
Cause Fear
Ceremony
Chaos Bolt
Charm Person
Chromatic Orb
Cloak of Shadow
Color Spray
Command
Compelled Duel
Comprehend Languages
Create or Destroy Water
Creeping Touch
Cure Wounds
Delerium Orb
Detect Evil and Good
Detect Magic
Detect Poison and Disease
Disguise Self
Dissonant Whispers
Distort Value
Divine Favor
Divine Smite
Doom of Poor Fortune
Earth Tremor
Elevated Sight
Elf Shot
Emerald Goblet
Ensnaring Strike
Entangle
Expeditious Retreat
Faerie Fire
False Life
Feather Fall
Find Familiar
Fireflies
Floating Disk
Fog Cloud
Frost Fingers
Gift of Alacrity
Gloaming
Goodberry
Grease
Guiding Bolt
Hail of Thorns
Healing Word
Hell's Lash
Hellish Rebuke
Heroism
Hex
Hideous Laughter
Hunter's Mark
Ice Knife
Identify
Illusory Script
Inflict Wounds
Jim's Magic Missile
Jump
Longstrider
Mage Armor
Magic Missile
Magnify Gravity
Pratfall
Protection from Evil and Good
Purify Food and Drink
Ray of Sickness
Sanctuary
Searing Smite
Shadow Armor
Shadow Hands
Shield
Shield of Faith
Silent Image
Silvery Barbs
Sleep
Snare
Speak with Animals
Spiny Shield
Tasha's Caustic Brew
Tasha's Hideous Laughter
Tenser's Floating Disk
Thunderous Smite
Thunderwave
Unseen Servant
Veil of Dusk
Witch Bolt
Wrathful Smite
Zephyr Strike
Chameleon Skin
Corrupting Ichor
Daydream
Armament
Bubble Lift
Duplicate
Forest Guard
Gift
Pacify Person
Sand Structure
Sprout Foliage
Summon Vehicle
Swallow Magic
Water Bullet
Whelm Weapon
Accelerate/Decelerate
Clue
Delay
Memorize
Rumor
Comet Shards
Delerium Orb
Infect
Ballistic Smite
Conjure Cover
Perforating Shot
Ancestral Communion
Captivate Undead
Devil's Due
Hungering Blade
Body Warping of Gorgoroth
Create Mist of R'lyeh
Tide of Darkness
Umbral Tendril
Arcane Aegis
Assisted Aim
Binding Pledge
Blood Rush
Bloodbane Rune
Boil Blood
Consumption
Creeping Touch
Crimson Lash
Ghost Light
Intaglio
Neutralize Aura
Somnolence
Thorn Armor
Tremor
Vampiric Claws
Vibrating Humors
Spellfire Flare
Wardaway
